iter	Passed	Remaining
677	129089	822899
678	129280	822714
679	129472	822529
680	129657	822309
681	129917	822557
682	130172	822771
683	130430	823011
684	130701	823326
685	130957	823544
686	131232	823877
687	131440	823796
688	131674	823874
689	131866	823689
690	132035	823357
691	132259	823374
692	132484	823392
693	132677	823209
694	132889	823147
695	133082	822967
696	133259	822691
697	133448	822485
698	133637	822281
699	133854	822252
700	134076	822245
701	134259	822002
702	134440	821748
703	134618	821477
704	134844	821498
705	135033	821293
706	135274	821406
707	135459	821176
708	135612	820753
709	135824	820686
710	136080	820883
711	136268	820675
712	136431	820311
713	136586	819901
714	136749	819542
715	136933	819307
716	137150	819269
717	137334	819030
718	137525	818838
719	137747	818829
720	137946	818684
721	138105	818303
722	138295	818102
723	138481	817884
724	138761	818212
725	138940	817948
726	139177	818028
727	139350	817728
728	139531	817475
729	139710	817209
730	139864	816803
731	140081	816757
732	140265	816526
733	140431	816188
734	140602	815874
735	140815	815811
736	140954	815314
737	141130	815036
738	141317	814824
739	141494	814550
740	141662	814227
741	141834	813926
742	141999	813583
743	142167	813259
744	142364	813102
745	142539	812817
746	142716	812545
747	142888	812247
748	143059	811945
749	143243	811715
750	143454	811635
751	143619	811298
752	143794	811014
753	144025	811050
754	144249	811043
755	144463	810982
756	144660	810822
757	144865	810714
758	145141	810995
759	145353	810918
760	145549	810756
761	145798	810882
762	146066	811116
763	146290	811109
764	146482	810921
765	146685	810789
766	147021	811398
767	147213	811206
768	147423	811119
769	147610	810899
770	147817	810790
771	147998	810540
772	148198	810393
773	148436	810454
774	148615	810191
775	148824	810098
776	148987	809746
777	149162	809465
778	149343	809217
779	149544	809072
780	149686	808612
781	149914	808616
782	150092	808351
783	150316	808335
784	150587	808568
785	150766	808310
786	150924	807933
787	151132	807830
788	151305	807539
789	151467	807185
790	151684	807131
791	151889	807009
792	152058	806694
793	152247	806487
794	152427	806234
795	152635	806130
796	152825	805931
797	152998	805637
798	153164	805310
799	153325	804956
800	153479	804571
801	153666	804351
802	153863	804193
803	154019	803814
804	154183	803480
805	154406	803449
806	154601	803278
807	154806	803155
808	155033	803144
809	155211	802885
810	155382	802583
811	155563	802337
812	155727	802008
813	155924	801842
814	156116	801653
815	156292	801379
816	156463	801086
817	156643	800832
818	156825	800594
819	156985	800244
820	157154	799938
821	157315	799592
822	157473	799231
823	157670	799069
824	157852	798827
825	158027	798557
826	158226	798403
827	158402	798133
828	158601	797981
829	158782	797736
830	158951	797435
831	159139	797228
832	159351	797140
833	159539	796930
834	159698	796579
835	159892	796401
836	160059	796090
837	160229	795794
838	160408	795542
839	160585	795280
840	160766	795040
841	160970	794913
842	161125	794543
843	161306	794301
844	161507	794158
845	161690	793924
846	161883	793747
847	162115	793754
848	162297	793516
849	162488	793324
850	162673	793105
851	162837	792780
852	163043	792661
853	163205	792332
854	163368	792002
855	163582	791923
856	163751	791626
857	163902	791238
858	164117	791163
859	164266	790771
860	164416	790382
861	164615	790229
862	164801	790017
863	164994	789836
864	165209	789756
865	165404	789588
866	165558	789220
867	165759	789076
868	166036	789295
869	166267	789291
870	166474	789178
871	166666	788989
872	166952	789245
873	167135	789015
874	167314	788767
875	167518	788635
876	167725	788521
877	167970	788583
878	168165	788406
879	168347	788171
880	168553	788050
881	168756	787914
882	168965	787803
883	169176	787704
884	169395	787638
885	169555	787304
886	169753	787142
887	169910	786790
888	170180	786963
889	170389	786853
890	170585	786685
891	170830	786741
892	171043	786648
893	171249	786522
894	171442	786337
895	171610	786037
896	171815	785905
897	171979	785592
898	172139	785253
899	172324	785032
900	172502	784779
901	172712	784672
902	172941	784653
903	173173	784646
904	173400	784611
905	173564	784297
906	173753	784091
907	173947	783912
908	174130	783682
909	174328	783518
910	174499	783237
911	174623	782743
912	174780	782396
913	174973	782210
914	175133	781880
915	175276	781474
916	175499	781420
917	175694	781248
918	175870	780987
919	176057	780774
920	176240	780549
921	176410	780260
922	176633	780211
923	176793	779882
924	177049	779974
925	177268	779902
926	177413	779507
927	177594	779271
928	177857	779395
929	178103	779442
930	178278	779179
931	178465	778968
932	178636	778685
933	178822	778470
934	178991	778182
935	179153	777863
936	179303	777490
