iter	MAPE	RMSE
631	0.2040794452	427202.5306
632	0.2039958875	427153.1249
633	0.203908626	427036.9413
634	0.2038281689	426716.4423
635	0.2037992964	426242.0413
636	0.2037587827	425724.3205
637	0.2035408844	425573.8461
638	0.203521128	424923.5165
639	0.2034840902	424576.3652
640	0.2034878559	424316.4137
641	0.2034928512	424067.241
642	0.203424957	423676.6879
643	0.2034655083	423492.2135
644	0.2033851432	423251.0418
645	0.2033450549	422894.1378
646	0.2033162226	422445.0306
647	0.2032936878	422186.8475
648	0.2032690465	422153.3166
649	0.2031317339	421957.1779
650	0.203041118	421745.9097
651	0.2030987623	421718.8018
652	0.2031039094	421670.5845
653	0.2030239498	421525.4195
654	0.2030066687	421413.3206
655	0.2028831689	421123.8503
656	0.2029097935	421045.7057
657	0.2028929621	420986.8678
658	0.2028413487	420619.6542
659	0.2027958363	420281.8206
660	0.2028132222	419959.3784
661	0.2027768111	419613.4699
662	0.2027108838	419403.9601
663	0.2026796672	419260.9878
664	0.2026115175	419093.9928
665	0.202438586	418990.5477
666	0.2024366137	418769.5405
667	0.2023752816	418358.5727
668	0.2023991288	418316.896
669	0.2023651609	418111.3579
670	0.2023442717	417917.271
671	0.202373825	417798.355
672	0.2022789616	417594.251
673	0.20225685	417372.4856
674	0.2022253693	417051.6764
675	0.2022212468	416771.8342
676	0.2022040421	416500.0996
677	0.202106534	416283.0953
678	0.2020637891	416015.2109
679	0.201890028	415776.4846
680	0.2018817801	415448.6523
681	0.2018663114	414797.3965
682	0.2017801156	414484.3394
683	0.2011253745	414341.8875
684	0.2011435382	414317.915
685	0.2010715906	413956.9594
686	0.201037234	413700.0486
687	0.200995441	413451.9637
688	0.2007968584	413233.681
689	0.200771136	413037.8386
690	0.20074757	412844.7662
691	0.2007007471	412767.511
692	0.2007419421	412608.8737
693	0.2007515509	412545.7068
694	0.2007113905	412474.5076
695	0.2006427489	412143.0953
696	0.2005873225	411908.5925
697	0.2006127734	411743.6173
698	0.200546671	411471.9583
699	0.2005627076	411306.6186
700	0.2005529657	411261.5243
701	0.2005354865	411035.8006
702	0.200575314	410792.8486
703	0.2003508307	410587.4239
704	0.2000720963	410541.883
705	0.2000688328	410203.7256
706	0.2000444142	410046.8017
707	0.1999949124	409902.9278
708	0.1999915201	409677.5075
709	0.1999810183	409634.6818
710	0.1999935912	409609.6162
711	0.1995923627	409530.1549
712	0.1995338191	409347.4682
713	0.199523919	409249.9959
714	0.1995202298	408936.3743
715	0.1992876117	408697.1509
716	0.1993076188	408582.128
717	0.199331525	408555.1042
718	0.199287259	408455.7748
719	0.1992400077	408257.6004
720	0.1991989194	408017.527
721	0.1990948662	407823.0117
722	0.1990296589	407686.986
723	0.198945741	407553.0669
724	0.1989328159	407460.7258
725	0.1989801186	407424.2699
726	0.198991658	407340.238
727	0.1987754075	407232.8044
728	0.198831103	406881.9505
729	0.1988841267	406546.614
730	0.1988856329	406494.1127
731	0.1988847476	406445.1566
732	0.1988682587	406151.5709
733	0.1987817773	405777.7924
734	0.1987749974	405551.7529
735	0.1986722075	405296.5448
736	0.1986601026	405183.2502
737	0.1986559699	405100.568
738	0.1986238268	404929.7061
739	0.1984342801	404748.5466
740	0.198366399	404586.0564
741	0.1983327123	404531.0474
742	0.1983193575	404377.4
743	0.1983035405	404267.5063
744	0.1981701711	403960.1893
745	0.1981317226	403630.7155
746	0.1981457529	403609.3713
747	0.1981312902	403465.6911
748	0.1981574301	403415.5034
749	0.197929073	403121.1148
